nome,num_part,participou_2014,participou_2015,participou_2016,participou_2017,participou_2018,participou_2019,participou_2020,participou_2021,participou_2022,participou_2023,participou_2024,indicada_gg,ganhou_gg,indicada_sag,ganhou_sag,indicada_bafta,ganhou_bafta,indicada_critics,ganhou_critics,ganhou_os
Ana de Armas,5,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,1,0,0,0,0
Andra Day,3,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0
Andrea Riseborough,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Annette Bening,6,0,0,2,1,0,0,0,0,0,3,0,1,0,1,0,1,0,1,0,0
Brie Larson,5,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Carey Mulligan,9,0,0,0,0,0,0,4,0,0,5,0,1,0,1,0,1,0,1,1,0
Cate Blanchett,11,0,5,0,0,0,1,0,0,5,0,0,1,1,1,0,1,1,1,1,0
Charlize Theron,7,0,1,0,0,1,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Charlotte Rampling,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cynthia Erivo,9,0,0,0,0,0,4,0,0,0,0,5,1,0,1,0,1,0,1,0,0
Demi Moore,5,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,0,1,1,0
Emma Stone,12,0,0,5,1,0,0,0,1,0,5,0,1,1,1,1,1,1,1,1,1
Felicity Jones,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Fernanda Torres,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Frances McDormand,10,0,0,0,5,0,0,5,0,0,0,0,1,1,1,1,1,1,1,1,1
Glenn Close,5,0,0,0,0,5,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0
Isabelle Huppert,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Jennifer Lawrence,5,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
Jessica Chastain,7,0,0,1,2,0,0,0,4,0,0,0,1,0,1,1,0,0,1,1,1
Julianne Moore,5,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Karla Sofía Gascón,5,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,1,0,0
Kristen Stewart,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0
Lady Gaga,9,0,0,0,0,5,0,0,4,0,0,0,1,0,1,0,1,0,1,1,0
Lily Gladstone,4,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,1,0,0
Margot Robbie,11,0,0,0,5,0,0,0,0,2,4,0,1,0,1,0,1,0,1,0,0
Marion Cotillard,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Melissa McCarthy,6,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Meryl Streep,7,0,0,4,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Michelle Williams,4,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0
Michelle Yeoh,5,0,0,0,0,0,0,0,0,5,0,0,1,1,1,1,1,0,1,0,1
Mikey Madison,5,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,1,1,0,0
Natalie Portman,6,0,0,5,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
Nicole Kidman,6,0,0,0,0,1,0,0,4,0,0,1,1,1,1,0,0,0,1,0,0
Olivia Colman,10,0,0,0,0,5,0,0,4,1,0,0,1,1,1,0,1,1,1,0,1
Penélope Cruz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reese Witherspoon,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Renée Zellweger,5,0,0,0,0,0,5,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Rosamund Pike,7,5,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0
Ruth Negga,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Sally Hawkins,5,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Sandra Hüller,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
Saoirse Ronan,15,0,5,0,5,0,4,0,0,0,0,1,1,1,1,0,1,0,1,0,0
Scarlett Johansson,5,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Vanessa Kirby,5,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,0,1,0,0
Viola Davis,9,0,0,0,0,1,0,4,0,4,0,0,1,0,1,1,1,0,1,0,0
Yalitza Aparicio,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
