ano,nome,personagem,filme,ganhou
2010,Natalie Portman,Nina Sayers,Black Swan,True
2010,Annette Bening,"Dr. Nicole ""Nic"" Allgood",The Kids Are All Right,False
2010,Noomi Rapace,Lisbeth Salander,The Girl with the Dragon Tattoo,False
2010,Hailee Steinfeld,Mattie Ross,True Grit,False
2011,Meryl Streep,Margaret Thatcher,The Iron Lady,True
2011,Bérénice Bejo,Peppy Miller,The Artist,False
2011,Viola Davis,Aibleen Clark,The Help,False
2011,Tilda Swinton,Eva Khatchadourian,We Need to Talk About Kevin,False
2011,Michelle Williams,Marilyn Monroe,My Week with Marilyn,False
2012,Emmanuelle Riva,Anne Laurent,Amour,True
2012,Jessica Chastain,Maya Harris,Zero Dark Thirty,False
2012,Marion Cotillard,Stéphanie,Rust and Bone,False
2012,Jennifer Lawrence,Tiffany Maxwell,Silver Linings Playbook,False
2012,Helen Mirren,Alma Reville Hitchcock,Hitchcock,False
2013,Cate Blanchett,"Jeanette ""Jasmine"" Francis",Blue Jasmine,True
2013,Amy Adams,Sydney Prosser / Lady Edith Greensly,American Hustle,False
2013,Sandra Bullock,Dr. Ryan Stone,Gravity,False
2013,Judi Dench,Philomena Lee,Philomena,False
2013,Emma Thompson,P. L. Travers,Saving Mr. Banks,False
2014,Julianne Moore,Dr. Alice Howland,Still Alice,True
2014,Amy Adams,Margaret Keane,Big Eyes,False
2014,Felicity Jones,Jane Wilde Hawking,The Theory of Everything,False
2014,Rosamund Pike,Amy Elliott-Dunne,Gone Girl,False
2014,Reese Witherspoon,Cheryl Strayed,Wild,False
2015,Brie Larson,"Joy ""Ma"" Newsome",Room,True
2015,Cate Blanchett,Carol Aird,Carol,False
2015,Saoirse Ronan,Eilis Lacey,Brooklyn,False
2015,Maggie Smith,Mary Shepherd / Margaret Fairchild,The Lady in the Van,False
2015,Alicia Vikander,Gerda Wegener,The Danish Girl,False
2016,Emma Stone,Mia Dolan,La La Land,True
2016,Amy Adams,Dr. Louise Banks,Arrival,False
2016,Emily Blunt,Rachel Watson,The Girl on the Train,False
2016,Natalie Portman,Jackie Kennedy,Jackie,False
2016,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins,False
2017,Frances McDormand,Mildred Hayes,"Three Billboards Outside Ebbing, Missouri",True
2017,Annette Bening,Gloria Grahame,Film Stars Don't Die in Liverpool,False
2017,Sally Hawkins,Elisa Esposito,The Shape of Water,False
2017,Margot Robbie,Tonya Harding,"I, Tonya",False
2017,Saoirse Ronan,"Christine ""Lady Bird"" McPherson",Lady Bird,False
2018,Olivia Colman,Queen Anne,The Favourite,True
2018,Glenn Close,Joan Castleman,The Wife,False
2018,Viola Davis,Veronica Rawlings,Widows,False
2018,Lady Gaga,Ally Maine,A Star Is Born,False
2018,Melissa McCarthy,Lee Israel,Can You Ever Forgive Me?,False
2019,Renée Zellweger,Judy Garland,Judy,True
2019,Jessie Buckley,Rose-Lynn Harlan,Wild Rose,False
2019,Scarlett Johansson,Nicole Barber,Marriage Story,False
2019,Saoirse Ronan,"Josephine ""Jo"" March",Little Women,False
2019,Charlize Theron,Megyn Kelly,Bombshell,False
2020,Frances McDormand,Fern,Nomadland,True
2020,Bukky Bakray,"Olushola ""Rocks"" Omotoso",Rocks,False
2020,Radha Blank,Radha Blank,The Forty-Year-Old Version,False
2020,Vanessa Kirby,Martha Weiss,Pieces of a Woman,False
2020,Wunmi Mosaku,Rial Majur,His House,False
2020,Alfre Woodard,Bernardine Williams,Clemency,False
2021,Joanna Scanlan,Mary Hussain,After Love,True
2021,Lady Gaga,Patrizia Reggiani,House of Gucci,False
2021,Alana Haim,Alana Kane,Licorice Pizza,False
2021,Emilia Jones,Ruby Rossi,CODA,False
2021,Renate Reinsve,Julie,The Worst Person in the World,False
2021,Tessa Thompson,Irene Redfield,Passing,False
2022,Cate Blanchett,Lydia Tár,Tár,True
2022,Viola Davis,General Nanisca,The Woman King,False
2022,Danielle Deadwyler,Mamie Till,Till,False
2022,Ana de Armas,Marilyn Monroe,Blonde,False
2022,Emma Thompson,Nancy Stokes / Susan Robinson,"Good Luck to You, Leo Grande",False
2022,Michelle Yeoh,Evelyn Quan Wang,Everything Everywhere All at Once,False
2023,Emma Stone,Bella Baxter,Poor Things,True
2023,Fantasia Barrino,Celie Harris-Johnson,The Color Purple,False
2023,Sandra Huller,Sandra Voyter,Anatomy of a Fall,False
2023,Carey Mulligan,Felicia Montealegre,Maestro,False
2023,Vivian Oparah,Yas,Rye Lane,False
2023,Margot Robbie,Barbie,Barbie,False
2024,Mikey Madison,"Anora ""Ani"" Mikheeva",Anora,True
2024,Cynthia Erivo,Elphaba Thropp,Wicked,False
2024,Karla Sofía Gascón,"Juan ""Manitas"" Del Monte / Emilia Pérez",Emilia Pérez,False
2024,Marianne Jean-Baptiste,Pansy Deacon,Hard Truths,False
2024,Demi Moore,Elisabeth Sparkle,The Substance,False
2024,Saoirse Ronan,Rona,The Outrun,False
