ano,nome,personagem,filme,ganhou
1995,Nicole Kidman,Suzanne Stone-Maretto,"To Die For 
",True
1996,Frances McDormand,Marge Gunderson,"Fargo 
",True
1997,Helena Bonham Carter,Kate Croy,"The Wings of the Dove 
",True
1998,Cate Blanchett,Queen Elizabeth I,"Elizabeth 
",True
1999,Hilary Swank,Brandon Teena ,"Boys Don't Cry 
",True
2000,Julia Roberts,Erin Brockovich ,"Erin Brockovich 
",True
2001,Sissy Spacek,Ruth Fowler,"In the Bedroom 
",True
2001,Nicole Kidman,Satine,"Moulin Rouge!
",False
2001,Renée Zellweger,Bridget Jones,"Bridget Jones's Diary
",False
2002,Julianne Moore,Cathy Whitaker,"Far from Heaven 
",True
2002,Salma Hayek,Frida Kahlo,"Frida
",False
2002,Nicole Kidman,Virginia Woolf,"The Hours
",False
2002,Diane Lane,"Constance ""Connie"" Sumner","Unfaithful
",False
2003,Charlize Theron,Aileen Wuornos,"Monster 
",True
2003,Jennifer Connelly,Kathy Nicolo,"House of Sand and Fog
",False
2003,Diane Keaton,Erica Barry,"Something's Gotta Give
",False
2003,Nicole Kidman,Ada Monroe,"Cold Mountain
",False
2003,Samantha Morton,Sarah Sullivan,"In America
",False
2003,Naomi Watts,"Cristina ""Cris"" Peck","21 Grams
",False
2004,Hilary Swank,"Margaret ""Maggie"" Fitzgerald","Million Dollar Baby 
",True
2004,Annette Bening,Julia Lambert,"Being Julia
",False
2004,Catalina Sandino Moreno,María Álvarez,"Maria Full of Grace
",False
2004,Imelda Staunton,Vera Drake,"Vera Drake
",False
2004,Kate Winslet,Clementine Kruczynski,"Eternal Sunshine of the Spotless Mind
",False
2004,Uma Thurman,Beatrix Kiddo,"Kill Bill: Volume 2
",False
2005,Reese Witherspoon,June Carter Cash,"Walk the Line 
",True
2005,Joan Allen,Terry Wolfmeyer,"The Upside of Anger
",False
2005,Judi Dench,Laura Henderson,"Mrs Henderson Presents
",False
2005,Felicity Huffman,"Sabrina ""Bree"" Osbourne","Transamerica
",False
2005,Keira Knightley,Elizabeth Bennet,"Pride & Prejudice
",False
2005,Charlize Theron,Josey Aimes,"North Country
",False
2006,Helen Mirren,Queen Elizabeth II,"The Queen 
",True
2006,Penélope Cruz,Raimunda,"Volver
",False
2006,Judi Dench,Barbara Covett,"Notes on a Scandal
",False
2006,Meryl Streep,Miranda Priestly,"The Devil Wears Prada
",False
2006,Kate Winslet,Sarah Pierce,"Little Children
",False
2007,Julie Christie,Fiona Anderson,"Away from Her 
",True
2007,Amy Adams,Princess Giselle,"Enchanted
",False
2007,Cate Blanchett,Queen Elizabeth I,"Elizabeth: The Golden Age
",False
2007,Marion Cotillard,Édith Piaf,"La Vie en Rose
",False
2007,Angelina Jolie,Mariane Pearl,"A Mighty Heart
",False
2007,Elliot Page,Juno MacGuff,"Juno
",False
2008,Anne Hathaway,Kym Buchman,"Rachel Getting Married 
",True
