ano,nome,personagem,filme,ganhou
1943,Jennifer Jones,Bernadette Soubirous,The Song of Bernadette,True
1944,Ingrid Bergman,Paula Alquist Anton,Gaslight,True
1945,Sister Mary Benedict,The Bells of St. Mary's,[3],True
1946,Rosalind Russell,Sister Elizabeth Kenny,Sister Kenny,True
1947,Rosalind Russell,Lavinia Mannon,Mourning Becomes Electra,True
1948,Jane Wyman,Belinda MacDonald,Johnny Belinda,True
1949,Olivia de Havilland,Catherine Sloper,The Heiress,True
1949,Deborah Kerr,Evelyn Boult,"Edward, My Son",False
1950,Bette Davis,Margo Channing,All About Eve,False
1950,Judy Holliday,Billie Dawn,Born Yesterday,False
1950,Gloria Swanson,Norma Desmond,Sunset Boulevard,True
1950,Judy Holliday,"Emma ""Billie"" Dawn",Born Yesterday,True
1950,Spring Byington,Louisa Norton,Louisa,False
1950,Betty Hutton,Annie Oakley,Annie Get Your Gun,False
1951,June Allyson,Cynthia Potter,Too Young to Kiss,True
1951,Vivien Leigh,Blanche DuBois,A Streetcar Named Desire,False
1951,Shelley Winters,Alice Tripp,A Place in the Sun,False
1951,Jane Wyman,LouLou Mason,The Blue Veil,True
1952,Shirley Booth,Lola Delaney,"Come Back, Little Sheba",True
1952,Olivia de Havilland,Rachel Sangalletti Ashley,My Cousin Rachel,False
1952,Joan Crawford,Myra Hudson,Sudden Fear,False
1952,Susan Hayward,Jane Froman,With a Song in My Heart,True
1952,Ginger Rogers,Edwina Fulton,Monkey Business,False
1952,Katharine Hepburn,Pat Pemberton,Pat and Mike,False
1953,Ethel Merman,Sally Adams,Call Me Madam,True
1953,Audrey Hepburn,"Princess Ann (""Anya Smith"")",Roman Holiday,True
1954,Grace Kelly,Georgie Elgin,The Country Girl,True
1954,Judy Garland,Esther Blodgett / Vicki Lester,A Star Is Born,True
1955,Jean Simmons,Sarah Brown,Guys and Dolls,True
1955,Anna Magnani,Serafina Delle Rose,The Rose Tattoo,True
1956,Judy Holliday,Laura Partridge,The Solid Gold Cadillac,False
1956,Deborah Kerr,Anna Leonowens,The King and I,True
1956,Machiko Kyō,Lotus Blossom,The Teahouse of the August Moon,False
1956,Helen Hayes,Dowager Empress Maria Feodorovona,Anastasia,False
1956,Audrey Hepburn,Natasha Rostova,War and Peace,False
1956,Marilyn Monroe,Chérie,Bus Stop,False
1956,Debbie Reynolds,Polly Parish,Bundle of Joy,False
1956,Ingrid Bergman,"Anna Koreff (""Anastasia"")",Anastasia,True
1956,Carroll Baker,Baby Doll Meighan,Baby Doll,False
1956,Katharine Hepburn,Lizzie Curry,The Rainmaker,False
1957,Eva Marie Saint,Celia Pope,A Hatful of Rain,False
1957,Marlene Dietrich,Christine Vole / Helm,Witness for the Prosecution,False
1957,Deborah Kerr,Sister Angela,"Heaven Knows, Mr. Allison",False
1957,Anna Magnani,Gioia,Wild Is the Wind,False
1957,Joanne Woodward,Eve White / Eve Black / Jane,The Three Faces of Eve,True
1957,Jean Simmons,Anne Leeds,This Could Be the Night,False
1957,Taina Elg,Angele Ducros,Les Girls,True
1957,Audrey Hepburn,Ariane Chavasse,Love in the Afternoon,False
1957,Kay Kendall,Sybil Wren,Les Girls,True
1957,Cyd Charisse,"Nina ""Ninotchka"" Yoschenko",Silk Stockings,False
1958,Mitzi Gaynor,Nellie Forbush,South Pacific,False
