ano,nome,personagem,filme,ganhou
1927,Janet Gaynor,Diane,7th Heaven,True
1927,Angela,Street Angel,7th Heaven,True
1927,The Wife,Sunrise: A Song of Two Humans,7th Heaven,True
1927,Louise Dresser,Mrs. Pleznik,A Ship Comes In,False
1927,Gloria Swanson,Sadie Thompson,Sadie Thompson,False
1928,Mary Pickford,Norma Besant,Coquette,True
1928,Ruth Chatterton,Jacqueline Floriot,Madame X,False
1928,Betty Compson,Carrie,The Barker,False
1928,Jeanne Eagels,Leslie Crosbie,The Letter,False
1928,Corinne Griffith,Emma Hamilton,The Divine Lady,False
1928,Bessie Love,Hank Mahoney,The Broadway Melody,False
1929,Norma Shearer,Jerry Bernard Martin,The Divorcee,True
1929,Nancy Carroll,Hallie Hobart,The Devil's Holiday,False
1929,Ruth Chatterton,Sarah Storm,Sarah and Son,False
1929,Greta Garbo,Anna Christie,Anna Christie,False
1929,Madame Rita Cavallini,Romance,Anna Christie,False
1929,Norma Shearer,Lucia Marlett,Their Own Desire,False
1929,Gloria Swanson,Marion Donnell,The Trespasser,False
1930,Marie Dressler,Min Divot,Min and Bill,True
1930,Marlene Dietrich,Mademoiselle Amy Jolly,Morocco,False
1930,Irene Dunne,Sabra Cravat,Cimarron,False
1930,Ann Harding,Linda Seton,Holiday,False
1930,Norma Shearer,Jan Ashe,A Free Soul,False
1931,Helen Hayes,Madelon Claudet,The Sin of Madelon Claudet,True
1931,Marie Dressler,Emma Thatcher Smith,Emma,False
1931,Lynn Fontanne,The Actress,The Guardsman,False
1932,Katharine Hepburn,Eva Lovelace,Morning Glory,True
1932,May Robson,Apple Annie,Lady for a Day,False
1932,Diana Wynyard,Jane Marryot,Cavalcade,False
1934,Claudette Colbert,Ellie Andrews,It Happened One Night,True
1934,Bette Davis,Mildred Rogers,Of Human Bondage,False
1934,Grace Moore,Mary Barrett,One Night of Love,False
1934,Norma Shearer,Elizabeth Barrett,The Barretts of Wimpole Street,False
1935,Bette Davis,Joyce Heath,Dangerous,True
1935,Elisabeth Bergner,Gemma Jones,Escape Me Never,False
1935,Claudette Colbert,Jane Everest,Private Worlds,False
1935,Katharine Hepburn,Alice Adams,Alice Adams,False
1935,Miriam Hopkins,Becky Sharp,Becky Sharp,False
1935,Merle Oberon,Kitty Vane,The Dark Angel,False
1936,Luise Rainer,Anna Held,The Great Ziegfeld,True
1936,Irene Dunne,Theodora Lynn / Caroline Adams,Theodora Goes Wild,False
1936,Gladys George,Carrie Snyder,Valiant Is the Word for Carrie,False
1936,Carole Lombard,Irene Bullock,My Man Godfrey,False
1936,Norma Shearer,Juliet Capulet,Romeo and Juliet,False
1937,Luise Rainer,O-Lan,The Good Earth,True
1937,Irene Dunne,Lucy Warriner,The Awful Truth,False
1937,Greta Garbo,Marguerite Gautier,Camille,False
1937,Janet Gaynor,Esther Victoria Blodgett / Vicki Lester,A Star Is Born,False
1937,Barbara Stanwyck,Stella Martin Dallas,Stella Dallas,False
1938,Bette Davis,Julie Marsden,Jezebel,True
1938,Fay Bainter,Hannah Parmalee,White Banners,False
1938,Wendy Hiller,Eliza Doolittle,Pygmalion,False
1938,Norma Shearer,Marie Antoinette,Marie Antoinette,False
1938,Margaret Sullavan,"Patricia ""Pat"" Hollmann",Three Comrades,False
1939,Vivien Leigh,Scarlett O'Hara,Gone with the Wind,True
1939,Bette Davis,Judith Traherne,Dark Victory,False
1939,Irene Dunne,Terry McKay,Love Affair,False
1939,Greta Garbo,"Nina Yakushova ""Ninotchka"" Ivanoff",Ninotchka,False
1939,Greer Garson,Katherine Bridges,"Goodbye, Mr. Chips",False
1940,Ginger Rogers,Kitty Foyle,Kitty Foyle,True
1940,Bette Davis,Leslie Crosbie,The Letter,False
1940,Joan Fontaine,The Second Mrs. de Winter,Rebecca,False
1940,Katharine Hepburn,Tracy Lord,The Philadelphia Story,False
1940,Martha Scott,Emily Webb,Our Town,False
