ano,nome,personagem,filme,ganhou
1994,Jodie Foster,Nell,Nell Kellty,True
1994,Jessica Lange,Blue Sky,Carly Marshall,False
1994,Meg Ryan,When a Man Loves a Woman,Alice Green,False
1994,Susan Sarandon,The Client,Reggie Love,False
1994,Meryl Streep,The River Wild,Gail Hartman,False
1995,Susan Sarandon,Dead Man Walking,Sister Helen Prejean,True
1995,Joan Allen,Nixon,Pat Nixon,False
1995,Elisabeth Shue,Leaving Las Vegas,Sera,False
1995,Meryl Streep,The Bridges of Madison County,Francesca Johnson,False
1995,Emma Thompson,Sense and Sensibility,Elinor Dashwood,False
1996,Frances McDormand,Fargo,Marge Gunderson,True
1996,Brenda Blethyn,Secrets & Lies,Cynthia Rose Purley,False
1996,Diane Keaton,Marvin's Room,Bessie,False
1996,Gena Rowlands,Unhook the Stars,Mildred Hawks,False
1996,Kristin Scott Thomas,The English Patient,Katharine Clifton,False
1997,Helen Hunt,As Good as It Gets,Carol Connelly,True
1997,Helena Bonham Carter,The Wings of the Dove,Kate Croy,False
1997,Judi Dench,Mrs Brown,Queen Victoria,False
1997,Pam Grier,Jackie Brown,Jackie Brown,False
1997,Kate Winslet,Titanic,Rose DeWitt Bukater,False
1997,Robin Wright,She's So Lovely,Maureen Murphy Quinn,False
1998,Gwyneth Paltrow,Shakespeare in Love,Viola de Lesseps,True
1998,Cate Blanchett,Elizabeth,Queen Elizabeth I,False
1998,Jane Horrocks,Little Voice,LV,False
1998,Meryl Streep,One True Thing,Kate Gulden,False
1998,Emily Watson,Hilary and Jackie,Jacqueline du Pré,False
1999,Annette Bening,American Beauty,Carolyn Burnham,True
1999,Janet McTeer,Tumbleweeds,Mary Jo Walker,False
1999,Julianne Moore,The End of the Affair,Sarah Miles,False
1999,Meryl Streep,Music of the Heart,Roberta Guaspari,False
1999,Hilary Swank,Boys Don't Cry,Brandon Teena,False
2000,Julia Roberts,Erin Brockovich,Erin Brockovich,True
2000,Joan Allen,The Contender,Laine Hanson,False
2000,Juliette Binoche,Chocolat,Vianne Liberato,False
2000,Ellen Burstyn,Requiem for a Dream,Sara Goldfarb,False
2000,Laura Linney,You Can Count on Me,Sammy Taylor,False
2001,Halle Berry,Monster's Ball,Leticia Musgrove,True
2001,Jennifer Connelly,A Beautiful Mind,Alicia Nash,False
2001,Judi Dench,Iris,Iris Murdoch,False
2001,Sissy Spacek,In the Bedroom,Ruth Fowler,False
2001,Renée Zellweger,Bridget Jones's Diary,Bridget Jones,False
2002,Renée Zellweger,Chicago,Roxie Hart,True
2002,Salma Hayek,Frida,Frida Kahlo,False
2002,Nicole Kidman,The Hours,Virginia Woolf,False
2002,Diane Lane,Unfaithful,Connie Sumner,False
2002,Julianne Moore,Far from Heaven,Cathy Whitaker,False
2003,Charlize Theron,Monster,Aileen Wuornos,True
2003,Patricia Clarkson,The Station Agent,Olivia Harris,False
2003,Diane Keaton,Something's Gotta Give,Erica Barry,False
2003,Naomi Watts,21 Grams,Cristina Gallagher,False
2003,Evan Rachel Wood,Thirteen,Tracy Freeland,False
2004,Hilary Swank,Million Dollar Baby,Maggie Fitzgerald,True
2004,Annette Bening,Being Julia,Julia Lambert,False
2004,Catalina Sandino Moreno,Maria Full of Grace,Maria Álvarez,False
2004,Imelda Staunton,Vera Drake,Vera Drake,False
2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clemetine Kruczynski,False
2005,Reese Witherspoon,Walk the Line,June Carter Cash,True
2005,Judi Dench,Mrs Henderson Presents,Laura Henderson,False
2005,Felicity Huffman,Transamerica,Bree Hoffman,False
