nome,participou_2014,participou_2015,participou_2016,participou_2017,participou_2018,participou_2019,participou_2020,participou_2021,participou_2022,participou_2023,participou_2024,indicada_bafta,ganhou_bafta
Alana Haim,False,False,False,False,False,False,False,True,False,False,False,True,False
Alfre Woodard,False,False,False,False,False,False,True,False,False,False,False,True,False
Alicia Vikander,False,True,False,False,False,False,False,False,False,False,False,True,False
Amy Adams,True,False,True,False,False,False,False,False,False,False,False,True,False
Ana de Armas,False,False,False,False,False,False,False,False,True,False,False,True,False
Annette Bening,False,False,False,True,False,False,False,False,False,False,False,True,False
Brie Larson,False,True,False,False,False,False,False,False,False,False,False,True,True
Bukky Bakray,False,False,False,False,False,False,True,False,False,False,False,True,False
Carey Mulligan,False,False,False,False,False,False,False,False,False,True,False,True,False
Cate Blanchett,False,True,False,False,False,False,False,False,True,False,False,True,True
Charlize Theron,False,False,False,False,False,True,False,False,False,False,False,True,False
Cynthia Erivo,False,False,False,False,False,False,False,False,False,False,True,True,False
Danielle Deadwyler,False,False,False,False,False,False,False,False,True,False,False,True,False
Demi Moore,False,False,False,False,False,False,False,False,False,False,True,True,False
Emilia Jones,False,False,False,False,False,False,False,True,False,False,False,True,False
Emily Blunt,False,False,True,False,False,False,False,False,False,False,False,True,False
Emma Stone,False,False,True,False,False,False,False,False,False,True,False,True,True
Emma Thompson,False,False,False,False,False,False,False,False,True,False,False,True,False
Fantasia Barrino,False,False,False,False,False,False,False,False,False,True,False,True,False
Felicity Jones,True,False,False,False,False,False,False,False,False,False,False,True,False
Frances McDormand,False,False,False,True,False,False,True,False,False,False,False,True,True
Glenn Close,False,False,False,False,True,False,False,False,False,False,False,True,False
Jessie Buckley,False,False,False,False,False,True,False,False,False,False,False,True,False
Joanna Scanlan,False,False,False,False,False,False,False,True,False,False,False,True,True
Julianne Moore,True,False,False,False,False,False,False,False,False,False,False,True,True
Karla Sofía Gascón,False,False,False,False,False,False,False,False,False,False,True,True,False
Lady Gaga,False,False,False,False,True,False,False,True,False,False,False,True,False
Maggie Smith,False,True,False,False,False,False,False,False,False,False,False,True,False
Margot Robbie,False,False,False,True,False,False,False,False,False,True,False,True,False
Marianne Jean-Baptiste,False,False,False,False,False,False,False,False,False,False,True,True,False
Melissa McCarthy,False,False,False,False,True,False,False,False,False,False,False,True,False
Meryl Streep,False,False,True,False,False,False,False,False,False,False,False,True,False
Michelle Yeoh,False,False,False,False,False,False,False,False,True,False,False,True,False
Mikey Madison,False,False,False,False,False,False,False,False,False,False,True,True,True
Natalie Portman,False,False,True,False,False,False,False,False,False,False,False,True,False
Olivia Colman,False,False,False,False,True,False,False,False,False,False,False,True,True
Radha Blank,False,False,False,False,False,False,True,False,False,False,False,True,False
Reese Witherspoon,True,False,False,False,False,False,False,False,False,False,False,True,False
Renate Reinsve,False,False,False,False,False,False,False,True,False,False,False,True,False
Renée Zellweger,False,False,False,False,False,True,False,False,False,False,False,True,True
Rosamund Pike,True,False,False,False,False,False,False,False,False,False,False,True,False
Sally Hawkins,False,False,False,True,False,False,False,False,False,False,False,True,False
Sandra Huller,False,False,False,False,False,False,False,False,False,True,False,True,False
Saoirse Ronan,False,True,False,True,False,True,False,False,False,False,True,True,False
Scarlett Johansson,False,False,False,False,False,True,False,False,False,False,False,True,False
Tessa Thompson,False,False,False,False,False,False,False,True,False,False,False,True,False
Vanessa Kirby,False,False,False,False,False,False,True,False,False,False,False,True,False
Viola Davis,False,False,False,False,True,False,False,False,True,False,False,True,False
Vivian Oparah,False,False,False,False,False,False,False,False,False,True,False,True,False
Wunmi Mosaku,False,False,False,False,False,False,True,False,False,False,False,True,False
