nome,participou_2014,participou_2015,participou_2016,participou_2017,participou_2018,participou_2019,participou_2020,participou_2021,participou_2022,participou_2023,participou_2024,indicada_gg,ganhou_gg
Alicia Vikander,False,True,False,False,False,False,False,False,False,False,False,True,False
Amy Adams,False,False,True,False,False,False,False,False,False,False,False,True,False
Ana de Armas,False,False,False,False,False,False,False,False,True,False,False,True,False
Andra Day,False,False,False,False,False,False,True,False,False,False,False,True,True
Angelina Jolie,False,False,False,False,False,False,False,False,False,False,True,True,False
Annette Bening,False,False,False,False,False,False,False,False,False,True,False,True,False
Brie Larson,False,True,False,False,False,False,False,False,False,False,False,True,True
Cailee Spaeny,False,False,False,False,False,False,False,False,False,True,False,True,False
Carey Mulligan,False,False,False,False,False,False,True,False,False,True,False,True,False
Cate Blanchett,False,True,False,False,False,False,False,False,True,False,False,True,True
Charlize Theron,False,False,False,False,False,True,False,False,False,False,False,True,False
Cynthia Erivo,False,False,False,False,False,True,False,False,False,False,False,True,False
Felicity Jones,True,False,False,False,False,False,False,False,False,False,False,True,False
Fernanda Torres,False,False,False,False,False,False,False,False,False,False,True,True,True
Frances McDormand,False,False,False,True,False,False,True,False,False,False,False,True,True
Glenn Close,False,False,False,False,True,False,False,False,False,False,False,True,True
Greta Lee,False,False,False,False,False,False,False,False,False,True,False,True,False
Isabelle Huppert,False,False,True,False,False,False,False,False,False,False,False,True,True
Jennifer Aniston,True,False,False,False,False,False,False,False,False,False,False,True,False
Jessica Chastain,False,False,True,True,False,False,False,True,False,False,False,True,False
Julianne Moore,True,False,False,False,False,False,False,False,False,False,False,True,True
Kate Winslet,False,False,False,False,False,False,False,False,False,False,True,True,False
Kristen Stewart,False,False,False,False,False,False,False,True,False,False,False,True,False
Lady Gaga,False,False,False,False,True,False,False,True,False,False,False,True,False
Lily Gladstone,False,False,False,False,False,False,False,False,False,True,False,True,True
Melissa McCarthy,False,False,False,False,True,False,False,False,False,False,False,True,False
Meryl Streep,False,False,False,True,False,False,False,False,False,False,False,True,False
Michelle Williams,False,False,False,True,False,False,False,False,True,False,False,True,False
Natalie Portman,False,False,True,False,False,False,False,False,False,False,False,True,False
Nicole Kidman,False,False,False,False,True,False,False,True,False,False,True,True,True
Olivia Colman,False,False,False,False,False,False,False,True,True,False,False,True,False
Pamela Anderson,False,False,False,False,False,False,False,False,False,False,True,True,False
Reese Witherspoon,True,False,False,False,False,False,False,False,False,False,False,True,False
Renée Zellweger,False,False,False,False,False,True,False,False,False,False,False,True,True
Rooney Mara,False,True,False,False,False,False,False,False,False,False,False,True,False
Rosamund Pike,True,False,False,False,True,False,False,False,False,False,False,True,False
Ruth Negga,False,False,True,False,False,False,False,False,False,False,False,True,False
Sally Hawkins,False,False,False,True,False,False,False,False,False,False,False,True,False
Sandra Hüller,False,False,False,False,False,False,False,False,False,True,False,True,False
Saoirse Ronan,False,True,False,False,False,True,False,False,False,False,False,True,False
Scarlett Johansson,False,False,False,False,False,True,False,False,False,False,False,True,False
Tilda Swinton,False,False,False,False,False,False,False,False,False,False,True,True,False
Vanessa Kirby,False,False,False,False,False,False,True,False,False,False,False,True,False
Viola Davis,False,False,False,False,False,False,True,False,True,False,False,True,False
